Area,Area Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,
country:United Kingdom,K02000001,17803,18848,19722,20376,21124,22056,22888,23367,24043,25165,25806,25882,26095,26472,27011,27215,27645
country:Great Britain,K03000001,17866,18915,19779,20435,21200,22103,22970,23444,24147,25277,25905,26000,26206,26540,27105,27297,27715
country:England,E92000001,17939,19107,19997,20706,21500,22418,23280,23729,24480,25549,26133,26265,26488,26822,27372,27485,27872
country:Wales,W92000004,16457,17157,18018,18189,19130,20085,20634,20790,21105,21830,22800,23178,23397,23617,24103,24453,24733
country:Scotland,S92000003,16914,18029,18610,19167,19799,20598,21312,22373,23098,24105,24993,25205,25291,25780,26489,27038,27710
country:Northern Ireland,N92000002,15798,16599,17529,18325,18502,19622,20060,20739,20934,22122,23023,22394,23034,23944,23952,24491,25847
country:England and Wales,K04000001,17974,19000,19898,20562,21359,22284,23151,23564,24255,25373,25998,26076,26290,26633,27169,27321,27715
ualad09:Darlington,E06000005,15915,16043,17220,18568,17955,18264,18504,19913,22633,22556,22630,22259,23363,24149,#,25502,26746
ualad09:County Durham,E06000047,-,-,-,-,-,-,-,-,-,20098,20683,21500,21569,22038,23469,23707,24014
ualad09:Hartlepool,E06000001,16121,15743,17264,18251,17153,17258,20850,20478,19913,21047,21298,23762,23430,24741,27220,25143,26467
ualad09:Middlesbrough,E06000002,16073,16513,17273,19252,18348,18635,18706,20189,20495,21301,22593,21628,21932,24669,24133,23971,24703
ualad09:Northumberland,E06000057,-,-,-,-,-,-,-,-,-,20790,22143,23032,21625,23358,22684,22328,23816
ualad09:Redcar and Cleveland,E06000003,21274,22135,21763,20806,19841,23903,25049,22897,24176,25340,25415,24156,25412,23684,#,26323,26636
ualad09:Stockton-on-Tees,E06000004,17199,18147,19186,18392,18653,20660,21390,21684,22766,22859,24156,23563,23829,23408,24141,25096,25343
ualad09:Gateshead,E08000037,17084,17602,18089,17226,17565,19577,22241,20328,20768,20931,21581,22997,24675,25888,25491,25627,25632
ualad09:Newcastle upon Tyne,E08000021,16988,19504,19070,19004,18966,20204,21742,21513,21780,22561,24851,24924,25186,25111,25333,25928,26961
ualad09:North Tyneside,E08000022,15701,16962,17600,18123,18501,20152,20409,20590,19781,21978,23463,24960,24420,24432,25023,24936,25772
ualad09:South Tyneside,E08000023,17114,17345,18617,18358,17618,18608,18422,19981,19788,#,21795,19668,#,22504,23615,24540,24567
ualad09:Sunderland,E08000024,16011,16441,17069,17781,18215,18791,20112,20680,21515,22503,22561,23305,22960,23323,24227,25041,25293
ualad09:Blackburn with Darwen,E06000008,15702,16357,17892,18027,18743,20748,21324,21076,20523,#,22920,23113,22864,23723,24610,24531,23764
ualad09:Blackpool,E06000009,14793,15171,15659,16861,18552,18347,19627,19222,#,#,#,18663,19647,20547,19998,20577,21392
ualad09:Cheshire East,E06000049,-,-,-,-,-,-,-,-,-,24821,24141,23643,25000,25098,25377,25761,25911
