Local authority code ,Local authority name,Q4-1995,Q1-1996,Q2-1996,Q3-1996,Q4-1996,Q1-1997,Q2-1997,Q3-1997,Q4-1997,Q1-1998,Q2-1998,Q3-1998,Q4-1998,Q1-1999,Q2-1999,Q3-1999,Q4-1999,Q1-2000,Q2-2000,Q3-2000,Q4-2000,Q1-2001,Q2-2001,Q3-2001,Q4-2001,Q1-2002,Q2-2002,Q3-2002,Q4-2002,Q1-2003,Q2-2003,Q3-2003,Q4-2003,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015
E06000047,County Durham,34500,35000,35250,35750,36500,36750,37500,38000,38500,38500,38250,38250,38750,39500,40000,41000,42500,42500,43500,43500,43000,42500,42500,43000,43500,44000,45000,45500,46950,48950,50000,54500,58000,60000,67000,73000,78000,80000,83000,85000,86000,88000,90000,92000,95000,95000,96500,98000,99950,100000,100000,100000,97000,95000,95000,95000,98000,100000,100000,101375,100000,97500,95000,93500,92500,93000,93000,93000,93500,94000,95000,95000,96000,96000,99000,100000,100000,100000,99950,99500,100000
E06000005,Darlington,39000,38875,38850,39000,39000,39300,40000,41125,42900,43250,43000,44000,44000,44350,45000,44500,45000,45000,46000,46000,46000,46725,47500,49000,50000,51500,52500,55000,56000,57973,59973,65000,73000,78000,83950,89400,94000,97500,100925,100000,100000,105000,105000,109500,112500,115000,117000,120000,120000,120666,120000,119000,120000,117500,117000,117500,120000,121000,123000,123000,120000,124125,120000,119000,119000,117500,115000,118000,113000,113000,115000,115000,116000,116500,119000,120000,123000,123000,122250,123000,122500
E06000001,Hartlepool,34725,35000,36000,36300,37500,37100,37500,36500,35000,35000,35500,36850,36000,37500,37000,37250,38950,39000,39000,38000,37500,36000,36000,38500,39000,40000,42750,43950,44000,44000,44050,45500,47950,48000,47500,49950,50000,50000,54950,57000,63375,70000,75000,82000,85000,89000,93425,96000,100000,105000,105000,100652,98000,92500,90000,90000,92500,97000,100000,100000,100000,100000,99995,99950,95500,92750,92000,95000,100000,105000,106000,109000,108000,105000,105000,104000,108000,110000,110000,110000,109950
E06000002,Middlesbrough,37500,38000,38000,39500,40000,40998,42000,42500,43000,42950,41000,40000,40000,40000,43000,45000,45000,45000,45000,44500,45000,44200,44000,44500,45000,45500,46500,45500,45000,44000,42000,45000,47000,49000,57000,59995,61000,64998,66000,70000,75000,81250,86625,92000,98500,99950,100000,101000,100000,100000,100000,95000,90000,90000,94200,102000,109000,107500,105000,104000,99950,99950,97000,93000,93500,95000,96000,99000,100000,100000,100000,102000,104000,110000,113000,113250,112500,110000,110000,110000,115250
E06000057,Northumberland,43450,43000,43000,44500,46000,47000,48000,48000,48500,48500,48500,49950,50000,50000,51000,52950,53500,54500,54500,55000,55000,55000,56000,57250,59000,59950,60000,63000,67500,69950,74000,79950,84500,88000,93950,100000,110000,114000,115000,115000,117995,119000,123000,129000,130000,134950,135000,135000,136950,136973,139000,139950,138000,138913,132750,130000,135000,136882,140000,140000,140000,138950,137125,131000,130000,130000,129950,133000,132500,133000,133000,132000,135000,135000,137500,140000,142000,144950,145000,148100,148950
E06000003,Redcar and Cleveland,41300,41500,42000,42000,42000,42000,42000,43500,44000,43500,44500,44000,44975,44500,44000,44000,44000,45000,46000,47500,48500,49000,49000,49725,50000,50000,50000,51000,53500,54950,59000,64500,68500,71975,77254,82000,85000,90000,92500,95000,100000,101500,105350,110000,115000,119000,120000,120000,121000,121500,120000,117000,113000,110000,110000,114000,116500,119000,120000,117500,116250,116000,110000,110000,110000,110000,111000,112000,112500,114000,113000,112500,115000,115000,117000,120000,120000,122109,122725,123000,122748
E06000004,Stockton-on-Tees,41950,42000,42000,42250,43000,43500,44000,44500,44500,45000,45000,45000,45500,46000,46500,47000,48000,48500,49000,49950,49995,49950,51000,52500,54375,56000,57500,59000,60000,64000,67750,74950,79950,83000,89450,95000,98000,100000,102000,104950,110000,113000,116000,119500,121000,124950,125000,128100,129350,129000,125000,124950,122500,120000,121000,122000,125000,125000,125000,126500,125000,125000,124995,122500,120000,121500,121000,123500,125000,125000,125000,125000,125000,128950,129000,130000,130475,130000,130000,132500,135000
E08000037,Gateshead,39000,38000,38000,39000,39500,40000,40998,40500,41500,42000,42000,42386,42595,42500,42950,43000,43000,43000,43493,44500,44950,45000,46500,47500,49950,50500,52950,55000,57000,58975,62000,67500,72950,77000,81000,86000,89950,91000,93000,95000,99000,100000,106000,110000,112000,113000,115000,115950,117000,118000,118000,115000,112500,114000,112500,115000,118000,116000,115750,115000,115000,115000,114950,112000,110000,110000,110000,110000,110000,111000,116500,117000,117500,119000,118000,119950,121000,122000,122500,124500,123500
E08000021,Newcastle upon Tyne,45000,45175,45000,46000,47000,47000,48000,49000,49000,49500,50000,50500,52000,52000,52500,55000,55000,56000,56975,56500,57000,58000,58950,60000,63000,64995,67950,72000,75000,79000,83000,89950,96000,102500,112000,118000,122000,122000,120000,120000,120000,125000,130000,135000,140000,140000,143000,142500,142950,142500,140000,140000,135000,134000,130000,129950,134000,135000,136000,139000,137750,137000,135000,132500,128000,130000,130000,130000,130000,129975,130000,132000,131000,133000,135000,135000,140000,140000,143000,146250,147500
E08000022,North Tyneside,43950,43000,42355,43000,44000,45000,46000,48500,48000,48000,49000,48000,49000,49000,48500,49950,51000,51000,52000,52000,52000,53000,53500,53950,54000,55000,57950,59950,66000,68950,73500,79950,83500,88000,95000,103000,109950,112000,112000,110000,113000,115000,118500,120000,124950,125000,127500,129950,130000,130000,128651,125950,124950,124975,125000,125000,130000,130000,132000,137000,135000,133000,131950,130000,127000,130000,130000,130000,133000,133000,133000,133100,133500,135000,136000,138000,140000,140000,141725,145000,146000
E08000023,South Tyneside,38500,38500,39000,39000,39950,41000,43000,43500,44500,44000,44000,44000,44000,45000,45750,46000,46500,46500,46500,46500,47000,47000,47000,48000,48000,48000,49000,49500,51000,53000,57000,60000,66000,70000,77500,80050,85000,87950,89950,93000,95825,98000,100000,103000,105000,110000,112000,111000,114950,112975,112000,111000,107500,105000,103750,104000,107000,108500,108500,110000,108750,110000,110000,100000,100000,100000,99000,103000,105000,107000,110000,110000,110000,110000,111000,110000,113000,115000,117000,117748,118000
E08000024,Sunderland,37250,37500,38000,38000,39000,39500,39500,40000,41000,42000,42500,41625,41000,40250,40000,41000,42500,42850,43500,43000,42500,42000,43000,44500,45000,47500,48500,50000,53500,54950,58500,62500,68000,72000,77000,82500,85000,89000,90000,91000,93000,95000,98000,100625,105000,106000,109000,110000,110000,110000,110000,108000,105000,104000,98000,99950,102500,100000,105000,105000,105000,106000,105000,100000,99950,98000,99858,100500,103000,105000,105000,104000,103000,105000,105000,105000,106995,107000,108000,109950,110000
E06000008,Blackburn with Darwen,30500,30000,30500,30000,30500,31000,31000,32000,32000,32000,32000,31973,32000,32500,33500,34500,35000,36000,36000,36000,35000,35000,35000,35500,36975,37100,38000,39000,40000,40973,42000,45000,47000,51000,57000,60000,66000,69500,70000,75000,77500,80000,82500,85000,88000,90000,94000,95847,99950,100000,101625,100000,100000,100500,98000,96500,97000,95000,95000,96750,95000,94000,90000,91000,91625,95000,95000,95000,94500,92500,95000,95000,94000,94000,95000,93750,97000,97500,99000,100000,100000
