,,QTR 1 03-04,QRT 2 03-04,QTR 3 03-04,QRT 4 03-04,QTR 1 04-05,QRT 2 04-05,QTR 3 04-05,QRT 4 04-05,QTR 1 05- 06,QRT 2 05-06,QTR 3 05-06,QRT 4 05-06,QTR 1 06-07,QRT 2 06-07,QTR 3 06-07,QRT 4 06-07,QTR 1 07-08,QRT 2 07-08,QTR 3 07-08,QRT 4 07-08,QTR 1 08-09,QRT 2 08-09,QTR 3 08-09,QTR 4 08-09,QTR 1 09-10,QRT 2 09-10,QTR 3 09-10,QRT 4 09-10,QTR 1 10-11,QRT 2 10-11,QTR 3 10-11,QRT 4 10-11,QTR 1 11-12,QRT 2 11-12,QTR 3 11-12,QRT 4 11-12,QTR 1 12-13,QTR 2 12-13,QTR 3 12-13,QTR 4 12-13,QTR 1 13-14,QTR 2 13-14,QTR 3 13-14,QTR 4 13-14,QTR 1 14-15,QTR 2 14-15,QTR 3 14-15,QTR 4 14-15,QTR 1 15-16,QTR 2 15-16,QTR 3 15-16,QTR 4 15-16
Aberdeen City,S12000033,60000,71139,70000,75000,75000,80000,80000,79500,85000,93000,92500,90250,105000,115000,120000,125000,137500,151778,150000,137250,145000,150000,144995,130000,140000,150000,150000,140000,149000,150500,148000,151000,155000,155000,157750,153000,153000,157500,158000,150000,162500,171500,175000,167224,175175,185000,183000,187050,180000,185000,183000,167000
Aberdeenshire,S12000034,80000,88000,87750,88500,90000,100000,105000,110000,110000,118789,121500,115628,132000,140000,146248,153342,165500,182000,190000,172500,184937,185000,177995,160000,175000,175000,183000,175000,180000,187500,190000,180000,190000,200000,182375,180000,189748,190179,185000,180000,198000,207500,205000,189025,210900,220000,215000,223000,220000,210000,215250,195000
Angus,S12000041,66000,73325,73000,78126,75000,82088,82265,81625,90989,95000,100000,105000,110000,115000,120000,121300,125000,130000,132000,120000,125000,133975,127545,115750,116000,122750,134500,118000,128250,125000,130000,123000,125000,124000,130000,125000,125000,124975,142250,119998,130000,135000,137500,134500,145000,152000,140000,138500,140000,144975,145500,135000
Argyll and Bute,S12000035,60000,74000,72000,75500,73000,85750,85000,87750,95000,109500,98000,98500,103000,120000,115000,116200,120000,140051,137000,122000,120000,125000,123975,111250,122500,133000,125000,125000,125000,130000,124100,115000,122000,130000,115000,115000,130000,121000,120000,120000,105000,119500,137000,114675,130000,125000,130000,120000,125000,139600,123750,123000
Clackmannanshire,S12000005,50500,60000,60000,66750,81500,68125,77250,75000,85000,78500,85000,80333,95000,98000,101050,116880,110000,120000,117073,106000,100000,114500,100000,95750,117000,109998,125000,88500,106750,115000,94000,80000,95000,106842,93500,88000,94000,125000,91000,86000,104000,110750,113500,108998,114250,129998,121750,105000,113000,131500,105750,92000
Dumfries and Galloway,S12000006,60000,70000,72000,78500,80000,85000,98000,85250,92050,95000,100000,96498,105000,117500,115000,105000,115000,129950,122500,119100,120000,130000,120000,110000,110000,120000,121500,121060,118500,125000,118000,114250,111777,120000,117950,117376,120000,120003,106775,116000,110000,122000,116500,104500,115000,121778,125000,121250,120000,122000,116500,118000
Dundee City,S12000042,50000,60000,59999,63000,60000,66875,68063,68500,70000,80000,77000,81000,85050,92000,92000,98000,106850,120000,115000,106575,108000,110000,91000,93000,105000,110000,120000,99475,108250,107500,103000,90000,107500,100000,111000,95000,100000,100550,105500,105000,108559,115750,112000,103500,117000,109500,109000,105000,108500,117500,115184,100000
East Ayrshire,S12000008,53000,55000,58300,59995,64500,70000,72000,68201,71500,80000,80000,79998,83000,92000,98000,92000,107000,102085,115000,112500,102000,99500,91500,84000,92000,95000,93875,84248,90000,104000,93500,80000,93000,100000,97500,85125,90000,92881,80000,80000,79000,92263,85000,75000,89248,97000,85000,85000,95000,95000,100000,95000
East Dunbartonshire,S12000045,92529,111000,115000,120063,118000,134950,130000,138250,145000,145000,150000,135000,147000,158500,158000,145750,155000,165000,180000,152250,171750,170000,147000,145000,160000,160000,159000,149375,151000,170000,165501,155000,167500,175000,168000,172778,170000,184400,175000,172750,175000,172000,176000,178500,183000,185000,183750,198250,179750,180000,182240,165000
East Lothian,S12000010,92500,115000,101000,104100,110075,120200,121000,115000,130000,136975,135000,125000,142000,150814,150325,155000,165125,174950,179950,157018,165998,175000,160000,150000,144000,157975,160000,153000,163750,175000,171500,150000,160000,163500,156000,143000,152500,180000,150000,140000,152000,170000,165000,147132,163995,174500,167000,210000,162500,175000,180000,160000
