ID,Local authority,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,
E06000001,Hartlepool UA,2.59,2.72,2.85,3.16,2.61,2.92,3.04,2.76,3.01,4.21,4.9,5.45,3.87,5.11,4.39,4.25,4.5,,
E06000002,Middlesbrough UA,2.83,2.74,2.84,2.69,2.53,2.61,2.15,3.39,4.07,4.8,5.02,4.62,4.7,4.37,4.47,4.38,4.12,,
E06000003,Redcar and Cleveland UA,2.33,2.51,2.35,2.28,2.45,2.84,3.45,3.44,4.36,4.89,4.81,4.52,4.49,4.59,4.31,4.88,4.54,,
E06000004,Stockton-on-Tees UA,2.97,2.93,2.93,3.03,3.05,3.54,4.35,4.91,5.24,5.65,6.16,5.75,5.06,5.4,5.07,5.28,5.31,,
E06000005,Darlington UA,3.05,3.32,2.93,3.21,3.36,3.13,4.06,5,5.89,5.82,5.33,5.44,5.09,5.44,5.21,4.97,5.64,,
E06000006,Halton UA,2.92,2.65,2.57,2.9,3.07,2.86,3.7,4.13,4.87,4.79,5.07,4.73,4.6,4.77,4.4,4.4,4.57,,
E06000007,Warrington UA,3.31,3.44,3.5,3.69,3.67,4.48,4.86,5.96,6.19,6.92,5.98,5.54,5.56,5.64,5.19,5.91,5.77,,
E06000008,Blackburn with Darwen UA,2.25,2.22,2.46,2.38,2.17,2.24,2.37,3.15,3.9,4.23,4.27,4.39,4.15,4.1,3.84,4.13,3.96,,
E06000009,Blackpool UA,3.04,3.13,3.07,3.13,3.13,3.31,3.86,4.93,5.49,6.24,6.24,6.28,5.05,5.13,4.75,4.58,4.58,,
E06000010,"Kingston upon Hull, City of UA",2.18,2.13,2.36,2.23,2.21,2.14,2.58,2.89,3.4,3.79,4.18,4.21,3.43,4.03,3.79,3.87,3.92,,
E06000011,East Riding of Yorkshire UA,3.26,3.23,3.36,3.28,3.28,3.76,4.63,6.07,6.23,6.25,6.17,6.3,5.58,5.75,5.76,6,5.77,,
E06000012,North East Lincolnshire UA,2.53,2.26,2.69,2.64,2.71,2.8,2.86,4.03,4.1,4.82,5.3,4.89,4.65,5.11,4.34,4.71,4.36,,
E06000013,North Lincolnshire UA,2.49,2.31,2.38,2.47,2.67,2.57,3.19,4.08,4.55,5.11,5.48,5,4.72,4.69,4.27,4.38,4.14,,
E06000014,York UA,3.71,3.56,3.51,3.75,4.27,4.94,6.11,6.63,7.46,7.02,7.29,7.44,6.5,7.12,6.86,6.81,6.55,,
E06000015,Derby UA,2.47,2.23,2.28,2.31,2.54,2.94,3.24,4.32,4.7,4.61,5.57,4.21,4,3.68,3.6,3.8,3.68,,
E06000016,Leicester UA,2.57,2.59,2.71,2.77,2.99,3.49,4.54,5.79,5.68,5.6,5.74,5.7,5.04,4.97,5.06,4.81,4.78,,
E06000017,Rutland UA,5.37,5.52,5.88,5.8,6.56,7.31,8.01,8.74,9.35,9.83,9.63,9.8,6.62,9.62,9.12,9.41,9.02,,
E06000018,Nottingham UA,2.66,2.62,2.65,2.61,2.71,3.25,4.01,4.64,4.92,4.94,4.85,4.51,3.78,4.03,3.9,4.07,3.99,,
E06000019,"Herefordshire, County of UA",4.18,4.36,4.78,5.29,5.39,6.01,7.63,8.57,9.1,8.61,9.1,9.11,8.25,9.83,8.86,9.09,8.92,,
E06000020,Telford and Wrekin UA,3.12,3.14,3.55,3.41,3.69,3.81,4.62,5.89,5.85,5.9,5.76,5.88,5.84,6.09,5.68,5.66,5.59,,
E06000021,Stoke-on-Trent UA,2.39,2.31,2.2,2.32,2.27,2.36,2.55,3.79,4.3,4.46,4.31,4.16,3.68,3.63,3.57,3.73,3.57,,
E06000022,Bath and North East Somerset UA,4.62,4.64,4.58,5.94,6.17,6.68,7.77,8.67,8.84,8.85,9.42,9.21,8.06,9.2,8.74,8.93,8.74,,
E06000023,"Bristol, City of UA",3.06,3.18,3.46,4.05,4.32,5.04,6.15,6.26,6.77,6.81,7.08,6.91,6.2,6.35,6.54,6.6,6.24,,
E06000024,North Somerset UA,3.66,4,4.08,4.56,4.7,5.43,6.26,6.77,7.1,7.24,7.57,7.48,6.95,7.16,6.92,6.92,6.97,,
E06000025,South Gloucestershire UA,3.32,3.44,3.63,4.24,4.37,4.99,5.96,6.28,6.46,6.31,7.3,7,5.9,7.09,6.58,7.16,7.01,,
E06000026,Plymouth UA,2.99,3.08,2.86,2.95,3.29,4.05,4.58,5.53,6.49,6.24,6.88,6.19,5.53,5.92,5.86,5.75,5.75,,
E06000027,Torbay UA,3.83,4.66,4.21,4.74,4.99,6.11,7.58,8.39,9.48,8.23,9.12,8.93,8.1,8.35,7.34,7.34,7.4,,
E06000028,Bournemouth UA,4.44,4.5,4.68,5.28,6.32,7.3,9.15,9.94,9.74,9.25,7.79,7.33,7,8.84,8.31,7.8,7.52,,
E06000029,Poole UA,4.06,4.21,4.77,5.4,5.69,6.59,7.8,8.83,8.72,8.72,9.22,9.19,7.9,9.05,7.85,8.47,8.36,,
E06000030,Swindon UA,3,3.36,3.49,4.18,4.33,5.12,5.72,5.65,6.1,6.17,6.17,6.07,5.61,5.9,5.35,5.52,5.57,,
E06000031,Peterborough UA,2.82,2.68,2.89,3.14,3.25,3.87,4.55,5.59,5.72,5.89,5.99,5.93,5.24,4.92,5.31,5.27,5.25,,
E06000032,Luton UA,2.49,2.58,2.74,3.56,3.97,4.1,5.58,6.42,6.01,6.1,6.29,6.33,5.48,6.17,6.24,6.38,5.82,,
E06000033,Southend-on-Sea UA,3.27,3.59,3.52,4.18,4.56,4.82,6.93,7.43,7.78,7.64,8.31,7.95,7.3,7.3,7.48,7.38,7.46,,
