Local authority code ,Local authority name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
E06000001,Hartlepool,36937,38737,37000,41425,44387,48350,52987,72593,90856,102663,92625,97375,99986,93812,105000,105500,109500
E06000002,Middlesbrough,42000,44875,44425,45625,44000,53248,65499,83718,99862,98750,94050,106375,97475,95875,100500,110062,110625
E06000003,Redcar and Cleveland,44368,45625,49056,50250,57987,74932,90625,104212,118500,119875,111750,118250,113062,110750,113000,116750,121958
E06000004,Stockton-on-Tees,46250,48862,50861,56718,66675,86850,101237,114625,124762,127075,121375,125375,124373,121500,125000,128237,130743
E06000005,Darlington,44462,45500,47306,52250,59736,81087,98106,104875,116125,119916,118000,121750,120781,117375,114000,117875,122812
E06000006,Halton,43781,47637,50225,53784,63612,78112,95487,105750,112325,116500,112562,118875,113000,110875,110640,115875,119497
E06000007,Warrington,56406,60112,66212,77500,91503,114487,132749,135000,144250,147375,139650,145248,147500,145312,145250,150000,155406
E06000008,Blackburn with Darwen,33125,35750,35125,37768,41993,53750,70125,81250,91961,100393,98750,95937,92500,94156,94250,94187,98375
E06000009,Blackpool,43000,44625,46506,50625,61081,79056,96362,108125,115987,117625,107750,104562,101312,96250,92250,97125,99987
E06000010,"Kingston upon Hull, City of",32875,34862,34912,35586,41331,51650,62612,74375,84322,91093,85125,86987,87256,84593,86000,87625,92125
E06000011,East Riding of Yorkshire,50737,53487,56962,64487,82975,106937,127125,134250,145143,149737,139487,141575,141487,140125,138750,143625,148987
E06000012,North East Lincolnshire,39250,40625,41243,46012,49850,64265,77875,89225,101250,107733,101262,109562,108500,105000,103625,110243,115000
E06000013,North Lincolnshire,42437,44750,46737,50750,61612,80862,97375,106000,116750,121500,116300,115750,115000,110187,110562,117500,121375
E06000014,York,59225,64118,77500,92575,118487,136250,156475,159862,172987,180981,167187,170250,175750,174025,178406,183806,197693
E06000015,Derby,43362,46125,49750,58487,72487,91350,112125,117248,124125,127000,121175,123500,120125,119862,124237,127023,132750
E06000016,Leicester,40750,43625,47250,58557,76237,95750,113500,116562,121600,125000,121987,118987,119625,120000,120000,123750,126125
E06000017,Rutland,80625,84332,98375,115625,142862,168812,190500,196375,207750,219875,214593,210236,216806,207125,216687,216249,226125
E06000018,Nottingham,42250,44612,46612,53225,72225,87986,97612,101500,106250,104750,98750,99993,97031,94875,96062,100250,109750
E06000019,"Herefordshire, County of",66749,75438,85225,95500,123312,146123,166062,168375,180250,188500,180737,182856,184362,180000,181562,184875,195437
E06000020,Telford and Wrekin,47181,50612,55375,63996,80450,98198,115237,120850,127998,132000,127993,133250,129900,131181,131432,135500,137124
E06000021,Stoke-on-Trent,33100,35187,35987,36487,39987,52250,68862,77250,84625,89750,86250,84625,83750,85168,86156,90250,93000
E06000022,Bath and North East Somerset,79987,95125,113987,130737,157750,178375,192625,199150,218000,228750,206937,215993,233937,229750,235875,241500,254987
E06000023,"Bristol, City of",60112,71100,81000,95500,121281,136250,148112,153500,168037,177300,164250,167875,174362,173250,175875,182625,199737
E06000024,North Somerset,67175,76268,86625,98725,123000,142480,157750,164175,178987,190043,175668,182000,185987,183062,186750,195606,210687
E06000025,South Gloucestershire,62312,72623,85373,101987,127498,142500,156875,161487,177248,188500,173500,177237,181687,179000,183612,191500,208756
