Area Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
E06000001,Hartlepool,16121,15743,17264,18251,17153,17258,20850,20478,19913,21047,21298,23762,23430,24741,27220,25143,26467
E06000002,Middlesbrough,16073,16513,17273,19252,18348,18635,18706,20189,20495,21301,22593,21628,21932,24669,24133,23971,24703
E06000003,Redcar and Cleveland,21274,22135,21763,20806,19841,23903,25049,22897,24176,25340,25415,24156,25412,23684,25003,26323,26636
E06000004,Stockton-on-Tees,17199,18147,19186,18392,18653,20660,21390,21684,22766,22859,24156,23563,23829,23408,24141,25096,25343
E06000005,Darlington,15915,16043,17220,18568,17955,18264,18504,19913,22633,22556,22630,22259,23363,24149,24825,25502,26746
E06000006,Halton,17891,19253,18242,20600,21383,21059,23012,25059,23141,25302,24828,26688,24027,25165,25279,26798,27411
E06000007,Warrington,16614,18309,19889,19298,21277,20040,21981,20934,25715,26907,26951,26488,26927,27516,26183,27300,27312
E06000008,Blackburn with Darwen,15702,16357,17892,18027,18743,20748,21324,21076,20523,21721,22920,23113,22864,23723,24610,24531,23764
E06000009,Blackpool,14793,15171,15659,16861,18552,18347,19627,19222,19082,18942,18802,18663,19647,20547,19998,20577,21392
E06000010,"Kingston upon Hull, City of",16357,16881,17103,17999,18328,19063,21049,21494,22114,23061,22580,22928,23858,23366,23659,23693,24139
E06000011,East Riding of Yorkshire,16152,17977,18525,18995,19575,20508,21360,22956,24470,23840,24271,24678,23510,24063,24769,24389,23939
E06000012,North East Lincolnshire,17572,17216,17538,17907,19161,19196,20440,20146,20440,21429,23054,21911,22831,24946,24305,23257,24061
E06000013,North Lincolnshire,18778,19497,19148,20970,22579,22929,24302,24364,22880,24655,24677,25862,25817,26313,27501,27896,27873
E06000014,York,17023,19349,19917,21048,21073,22442,23260,22822,24912,25128,25169,24346,24960,26277,27604,25880,25620
E06000015,Derby,19762,19785,22092,22630,24792,25764,27252,27417,22786,28443,31870,32311,31417,32918,33502,34526,33908
E06000016,Leicester,16084,16899,17548,18541,19171,19435,21361,21112,22533,23341,23968,24995,24286,24594,25323,25399,24502
E06000017,Rutland,14925,17284,16447,16161,19896,19918,19940,21257,23692,22577,25832,23741,22450,22108,22569,23403,#
E06000018,Nottingham,16172,17907,18700,19429,19528,21585,22471,22636,22888,23013,25076,24501,24690,25184,25217,24978,25978
E06000019,"Herefordshire, County of",14702,14995,16502,17125,17354,18854,18992,19957,20457,21190,19930,19915,19578,20054,20791,20831,21023
E06000020,Telford and Wrekin,15276,17026,16930,18264,19288,20020,20067,20543,23293,23849,22713,22429,22476,24210,24853,24526,26811
E06000021,Stoke-on-Trent,15233,15693,16326,16341,17062,17340,18031,19370,20497,22297,22164,23121,22685,22984,23692,23011,23760
E06000022,Bath and North East Somerset,17510,19675,19043,20281,22130,22192,21997,23392,24684,23719,24360,25683,25202,25183,26403,25850,26858
E06000023,"Bristol, City of",18518,19364,20083,21266,21223,22235,23119,23346,24652,24977,26150,27313,26836,26317,28074,28229,28345
E06000024,North Somerset,17692,18730,19409,20299,21722,22528,22780,23140,24130,25711,25240,26353,26374,26973,27649,27632,26492
E06000025,South Gloucestershire,19606,19814,21310,23130,24280,25000,25284,26761,25590,26208,27591,26932,27190,26707,27138,28392,29857
E06000026,Plymouth,16427,18266,18790,18613,20250,20845,21319,22362,22578,24703,24934,24985,25942,26464,27178,27258,27467
E06000027,Torbay,13953,15008,16106,15531,15000,16206,17413,18172,19371,19606,18471,19599,22054,21463,21767,20921,22283
E06000028,Bournemouth,14493,16257,16124,17036,16728,17362,18869,20007,25120,25976,26832,23790,23027,25280,27534,25879,24921
E06000029,Poole,16947,19116,18881,21219,20987,21944,22745,22348,23708,24109,25930,24120,26929,26552,27347,26588,28103
E06000030,Swindon,19155,20072,21138,21471,22161,23361,23321,24001,25908,26658,27091,26747,26677,27014,27805,28251,29585
E06000031,Peterborough,17523,17999,18300,19859,21054,20888,22148,22795,23210,24096,24768,24632,25345,25939,27036,26655,26551
