LADid,LADname,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
E06000001,Hartlepool,2.29,2.46,2.14,2.27,2.59,2.8,2.54,3.54,4.56,4.88,4.35,4.1,4.27,3.79,3.86,4.2,4.14
E06000002,Middlesbrough,2.61,2.72,2.57,2.37,2.4,2.86,3.5,4.15,4.87,4.64,4.16,4.92,4.44,3.89,4.16,4.59,4.48
E06000003,Redcar and Cleveland,2.09,2.06,2.25,2.42,2.92,3.13,3.62,4.55,4.9,4.73,4.4,4.9,4.45,4.68,4.52,4.44,4.58
E06000004,Stockton-on-Tees,2.69,2.69,2.65,3.08,3.57,4.2,4.73,5.29,5.48,5.56,5.02,5.32,5.22,5.19,5.18,5.11,5.16
E06000005,Darlington,2.79,2.84,2.75,2.81,3.33,4.44,5.3,5.27,5.13,5.32,5.21,5.47,5.17,4.86,4.59,4.62,4.59
E06000006,Halton,2.45,2.47,2.75,2.61,2.97,3.71,4.15,4.22,4.85,4.6,4.53,4.45,4.7,4.41,4.38,4.32,4.36
E06000007,Warrington,3.4,3.28,3.33,4.02,4.3,5.71,6.04,6.45,5.61,5.48,5.18,5.48,5.48,5.28,5.55,5.49,5.69
E06000008,Blackburn with Darwen,2.11,2.19,1.96,2.1,2.24,2.59,3.29,3.86,4.48,4.62,4.31,4.15,4.05,3.97,3.83,3.84,4.14
E06000009,Blackpool,2.91,2.94,2.97,3,3.29,4.31,4.91,5.63,6.08,6.21,5.73,5.6,5.16,4.68,4.61,4.72,4.67
E06000010,"Kingston upon Hull, City of",2.01,2.07,2.04,1.98,2.26,2.71,2.97,3.46,3.81,3.95,3.77,3.79,3.66,3.62,3.63,3.7,3.82
E06000011,East Riding of Yorkshire,3.14,2.98,3.07,3.39,4.24,5.21,5.95,5.85,5.93,6.28,5.75,5.74,6.02,5.82,5.6,5.89,6.22
E06000012,North East Lincolnshire,2.23,2.36,2.35,2.57,2.6,3.35,3.81,4.43,4.95,5.03,4.39,5,4.75,4.21,4.26,4.74,4.78
E06000013,North Lincolnshire,2.26,2.3,2.44,2.42,2.73,3.53,4.01,4.35,5.1,4.93,4.71,4.48,4.45,4.19,4.02,4.21,4.35
E06000014,York,3.48,3.31,3.89,4.4,5.62,6.07,6.73,7,6.94,7.2,6.64,6.99,7.04,6.62,6.46,7.1,7.72
E06000015,Derby,2.19,2.33,2.25,2.58,2.92,3.55,4.11,4.28,5.45,4.47,3.8,3.82,3.82,3.64,3.71,3.68,3.92
